ID;begin_ts;end_ts;estimated_dc_capacity;estimated_ac_capacity;tilt;azimuth;annual_yield;north;south;west;east;;;;
ID083;2014-01-01 00:00:00+00:00;2017-12-31 23:58:00+00:00;2400;2150;35;240;917;52.09694444;52.09277778;5.235555556;5.242222222;;;;
ID084;2014-01-01 00:00:00+00:00;2017-09-13 15:56:00+00:00;4129;3520;30;162;1048;52.20861111;52.20583333;4.928333333;4.932777778;;;;
ID085;2014-01-01 00:00:00+00:00;2017-10-28 07:03:00+00:00;2313;2150;45;157;1029;52.05055556;52.04916667;5.235833333;5.238055556;;;;
ID086;2014-01-01 00:00:00+00:00;2017-08-04 06:05:00+00:00;2810;2500;20;143;989;52.10611111;52.10472222;5.047222222;5.049444444;;;;
ID087;2014-01-01 00:00:00+00:00;2017-09-13 16:18:00+00:00;7384;7600;43;255;906;52.20833333;52.20555556;4.928611111;4.933055556;;;;
ID088;2015-01-01 00:00:00+00:00;2017-10-19 23:59:00+00:00;1557;1850;25;192;1024;52.10916667;52.10777778;5.081111111;5.083333333;;;;
ID089;2014-01-01 00:00:00+00:00;2017-12-31 23:58:00+00:00;1384;1470;20;163;1015;52.10305556;52.10166667;5.125555556;5.127777778;;;;
ID090;2014-01-01 00:00:00+00:00;2017-12-31 23:58:00+00:00;3651;2975;45;249;889;52.13416667;52.13277778;5.049444444;5.051666667;;;;
ID091;2014-10-01 00:01:00+00:00;2017-10-08 11:31:00+00:00;831;950;35;143;955;52.13694444;52.13416667;5.222777778;5.227222222;;;;
ID092;2014-01-01 00:00:00+00:00;2017-11-11 08:25:00+00:00;2216;2325;40;207;1026;52.03;52.02861111;5.524444444;5.526666667;;;;
ID093;2014-01-01 00:00:00+00:00;2015-05-21 05:54:00+00:00;397;460;25;186;1037;52.08472222;52.08333333;5.059166667;5.061388889;;;;
ID094;2014-01-01 00:00:00+00:00;2015-12-31 10:06:00+00:00;3237;2840;13;245;926;52.10972222;52.10833333;5.038055556;5.040277778;;;;
ID095;2014-01-01 00:00:00+00:00;2017-12-31 23:58:00+00:00;2159;2125;25;160;1038;52.00888889;52.0075;5.041388889;5.043611111;;;;
ID096;2014-01-01 00:00:00+00:00;2017-12-31 23:58:00+00:00;4441;4900;45;150;1041;52.05416667;52.05277778;5.226666667;5.228888889;;;;
ID097;2014-01-01 00:00:00+00:00;2017-12-31 23:58:00+00:00;1406;1820;45;185;969;52.11944444;52.11805556;5.405277778;5.4075;;;;
ID098;2014-01-01 00:00:00+00:00;2017-08-27 11:54:00+00:00;3862;3950;60;173;1001;52.19361111;52.19222222;5.414166667;5.416388889;;;;
ID099;2014-01-01 00:00:00+00:00;2017-10-27 06:10:00+00:00;2620;2470;25;180;1054;52.09583333;52.09444444;5.133611111;5.135833333;;;;
ID100;2014-01-01 00:00:00+00:00;2017-10-10 13:14:00+00:00;6048;6625;40;192;1113;51.94361111;51.94083333;5.137777778;5.142222222;;;;
ID101;2014-01-01 00:00:00+00:00;2017-12-13 07:13:00+00:00;3333;3300;40;180;1087;52.20083333;52.19944444;4.899722222;4.901944444;;;;
ID102;2014-01-01 00:00:00+00:00;2017-12-26 23:59:00+00:00;1304;1550;30;155;1006;52.06555556;52.06416667;5.198888889;5.201111111;;;;
ID103;2014-01-01 00:00:00+00:00;2017-12-31 23:58:00+00:00;2948;2720;42;202;1030;51.96;51.95861111;5.580833333;5.583055556;;;;
ID104;2014-01-01 00:00:00+00:00;2017-08-07 07:45:00+00:00;3775;3000;45;210;1058;52.00361111;52.00222222;5.223611111;5.225833333;;;;
ID105;2014-01-01 00:00:00+00:00;2017-12-31 23:58:00+00:00;1992;2600;45;207;1001;52.22777778;52.225;5.119166667;5.123611111;;;;
ID106;2014-01-01 00:00:00+00:00;2017-12-31 23:58:00+00:00;1433;1810;15;203;971;52.15472222;52.15333333;5.169444444;5.171666667;;;;
ID107;2014-01-01 00:00:00+00:00;2017-12-31 23:58:00+00:00;2665;2550;32;180;1019;52.09055556;52.08805556;5.048055556;5.050277778;;;;
ID108;2014-01-01 00:00:00+00:00;2017-12-31 23:58:00+00:00;1922;2200;20;135;1012;51.89527778;51.8925;5.094444444;5.098888889;;;;
ID109;2014-01-01 00:00:00+00:00;2017-12-31 23:58:00+00:00;4940;4000;44;234;953;52.05666667;52.05527778;5.2375;5.239722222;;;;
ID110;2014-01-01 00:00:00+00:00;2017-10-14 14:56:00+00:00;2226;2200;38;180;1088;52.20194444;52.20055556;4.887222222;4.889444444;;;;
ID111;2014-01-01 00:00:00+00:00;2017-11-04 19:28:00+00:00;4543;4000;40;188;1096;52.09527778;52.0925;4.951666667;4.953888889;;;;
ID112;2014-01-01 00:00:00+00:00;2016-10-20 10:25:00+00:00;1477;1550;15;210;982;52.16222222;52.16083333;5.367222222;5.369444444;;;;
ID113;2014-01-01 00:00:00+00:00;2017-12-31 23:58:00+00:00;1992;1600;14;140;960;52.18111111;52.17833333;4.838611111;4.843055556;;;;
