run_id,horizon_start,horizon_end_exclusive,dispatch_day,initial_soc_wh,soc_next_publish_wh,objective_horizon_eur,opt_revenue_dispatch_day_eur,opt_cycle_aging_cost_dispatch_day_eur,opt_revenue_dispatch_day_after_aging_eur,solver_status,solver_termination,n_horizon_steps,n_dispatch_steps,terminal_soc_enforced,real_revenue_dispatch_day_eur,real_rebap_settlement_dispatch_day_eur,real_revenue_dispatch_day_net_eur,scenario
25,2025-08-02,2025-08-03 10:45:00,2025-08-02,"4075,4207037543842","5500,000001","-0,45416290149976546","0,47254706374703714","0,4980296060284079","-0,0254825422813708",ok,optimal,139,96,False,"0,47254706374703714","-0,15297401254510073","0,3195730512019364",target
26,2025-08-03,2025-08-04 10:45:00,2025-08-03,"5500,000001","7125,640526315789","-0,4873911134402885","0,12241495230467273","0,5718424268985498","-0,449427474593877",ok,optimal,139,96,False,"0,12241495230467273","-0,0014598591018573058","0,12095509320281543",target
27,2025-08-04,2025-08-05 10:45:00,2025-08-04,"7125,640526315789","5417,118770929821","0,5722981569743343","1,4194955945894603","0,4600092207708849","0,9594863738185756",ok,optimal,139,96,False,"1,4194955945894605","-0,44883618200151226","0,9706594125879482",target
28,2025-08-05,2025-08-06 10:45:00,2025-08-05,"5417,118770929821","8101,9568849649095","-0,7606084434970326","0,07673594556509097","0,6487203525498395","-0,5719844069847486",ok,optimal,139,96,False,"0,07673594556509099","0,32010529754288913","0,39684124310798014",target
29,2025-08-06,2025-08-07 10:45:00,2025-08-06,"8101,9568849649095","6154,474650122807","-0,18233810692605967","0,8291623242923389","0,6276283156012112","0,20153400869112756",ok,optimal,139,96,False,"0,8291623242923388","-0,002363534273471891","0,826798790018867",target
30,2025-08-07,2025-08-08 10:45:00,2025-08-07,"6154,474650122807","5794,945530315791","0,17704115878754445","1,112374700799558","0,6742078240929517","0,43816687670660626",ok,optimal,139,96,False,"1,112374700799558","-0,06621885065337803","1,0461558501461798",target
31,2025-08-08,2025-08-09 10:45:00,2025-08-08,"5794,945530315791","4339,528157894738","0,461844260304356","1,5049193654111286","0,8285908698863548","0,6763284955247737",ok,optimal,139,96,False,"1,5049193654111284","-0,29304470564756535","1,211874659763563",target
32,2025-08-09,2025-08-10 10:45:00,2025-08-09,"4339,528157894738","3935,120414740343","0,44303296942668147","1,4047435972887228","0,724818008141433","0,6799255891472897",ok,optimal,139,96,False,"1,4047435972887228","-0,25659170829698014","1,1481518889917426",target
33,2025-08-10,2025-08-11 10:45:00,2025-08-10,"3935,120414740343","7097,623290473679","0,06720035645977518","0,5537759508347455","0,42662159251375503","0,12715435832099053",ok,optimal,139,96,False,"0,5537759508347455","-0,18812737086019418","0,36564857997455136",target
34,2025-08-11,2025-08-12 10:45:00,2025-08-11,"7097,623290473679","4892,1850877193","1,1100831428249218","1,7409001550012233","0,766691428357835","0,9742087266433884",ok,optimal,139,96,False,"1,7409001550012233","-0,283921888842625","1,4569782661585984",target
35,2025-08-12,2025-08-13 10:45:00,2025-08-12,"4892,1850877193","4116,1464473684255","1,9123229043489998","2,4034343387078967","0,784394611665471","1,619039727042426",ok,optimal,139,96,False,"2,4034343387078967","-0,19709635805442718","2,2063379806534695",target
36,2025-08-13,2025-08-14 10:45:00,2025-08-13,"4116,1464473684255","3710,0644736842114","2,5940207941947397","3,067195300839475","0,72915564004337","2,3380396607961047",ok,optimal,139,96,False,"3,067195300839475","-0,31819041191361025","2,7490048889258647",target
37,2025-08-14,2025-08-15 10:45:00,2025-08-14,"3710,0644736842114","3906,4707301894723","3,005077071675824","3,564031540463633","0,6533284618855442","2,9107030785780887",ok,optimal,139,96,False,"3,5640315404636334","-0,2657551160903165","3,2982764243733165",target
38,2025-08-15,2025-08-16 10:45:00,2025-08-15,"3906,4707301894723","4330,507281701769","0,8977991725097035","1,568092669358402","0,6307258640008901","0,9373668053575119",ok,optimal,139,96,False,"1,568092669358402","-0,05188448559193051","1,5162081837664716",target
39,2025-08-16,2025-08-17 10:45:00,2025-08-16,"4330,507281701769","4610,186928823572","-0,03944442081666433","0,810954539936982","0,6170935498051505","0,1938609901318315",ok,optimal,139,96,False,"0,8109545399369821","-1,9250282307584832","-1,1140736908215012",target
40,2025-08-17,2025-08-18 10:45:00,2025-08-17,"4610,186928823572","6402,188771929825","0,47324553687983395","0,7609900766950508","0,43960001062814774","0,3213900660669031",ok,optimal,139,96,False,"0,7609900766950508","0,1638267306201348","0,9248168073151857",target
41,2025-08-18,2025-08-19 10:45:00,2025-08-18,"6402,188771929825","4405,897236842106","0,9896387261612929","1,7838739823573273","0,7923856979818109","0,9914882843755164",ok,optimal,139,96,False,"1,783873982357327","0,034566081603082464","1,8184400639604097",target
42,2025-08-19,2025-08-20 10:45:00,2025-08-19,"4405,897236842106","4921,688595491227","0,6711894215009191","1,309045082297084","0,5930764186662931","0,7159686636307907",ok,optimal,139,96,False,"1,3090450822970838","-0,01707752548805832","1,2919675568090254",target
43,2025-08-20,2025-08-21 10:45:00,2025-08-20,"4921,688595491227","3509,9777937286576","-1,187520690056699","-0,8610009123103459","0,2929926950392392","-1,1539936073495851",ok,optimal,139,96,False,"-0,8610009123103459","0,930995505660265","0,06999459334991909",target
44,2025-08-21,2025-08-22 10:45:00,2025-08-21,"3509,9777937286576","5551,900086693996","-0,5994020556803783","-0,04124458266001034","0,3089959196430152","-0,3502405023030255",ok,optimal,139,96,False,"-0,041244582660010354","-0,3974123388866537","-0,4386569215466641",target
45,2025-08-22,2025-08-23 10:45:00,2025-08-22,"5551,900086693996","5357,631753385965","-0,3590167647859811","0,5490258163905914","0,6014020963891176","-0,05237627999852612",ok,optimal,139,96,False,"0,5490258163905914","-0,07704682868452523","0,47197898770606617",target
46,2025-08-23,2025-08-24 10:45:00,2025-08-23,"5357,631753385965","5499,999998999865","-1,2904300646013784","-0,21285105282961087","0,6037456671210808","-0,8165967199506916",ok,optimal,139,96,False,"-0,21285105282961087","-0,23993288174944982","-0,4527839345790607",target
47,2025-08-24,2025-08-25 07:45:00,2025-08-24,"5499,999998999865","6223,860876192981","-0,728456376011635","0,2078691242310664","0,5724445323021219","-0,3645754080710555",ok,optimal,127,96,False,"0,2078691242310664","0,16752234508055663","0,37539146931162304",target
48,2025-08-25,2025-08-26 10:45:00,2025-08-25,"6223,860876192981","4534,2574586691235","1,218178045326748","2,037933229261571","0,8189732701453785","1,2189599591161926",ok,optimal,139,96,False,"2,037933229261571","0,36371363571898174","2,4016468649805525",target
