valid_time,aswdir_s,aswdifd_s,t_2m
2025-08-21 11:15:00,"0,5621450000016921","215,09734500000013","291,6196594238281"
2025-08-21 11:30:00,"1,719104999998308","197,51252999999997","291,6477966308594"
2025-08-21 11:45:00,"0,1091950000009092","222,6030899999987","291,6759338378906"
2025-08-21 12:00:00,"-1,5117200000004232","195,7461800000019","291,7040710449219"
2025-08-21 12:15:00,"0,8480199999994511","140,23935999999776","291,85169219970703"
2025-08-21 12:30:00,"0,9804700000004232","209,9574420000008","291,9993133544922"
2025-08-21 12:45:00,"-2,9099700000006123","210,51442599999973","292,14693450927734"
2025-08-21 13:00:00,"5,363470000000234","219,34437200000139","292,2945556640625"
2025-08-21 13:15:00,"2,104910000000018","163,03830000000016","292,494873046875"
2025-08-21 13:30:00,"8,238470000000234","172,08641999999963","292,6951904296875"
2025-08-21 13:45:00,"-3,300970000000234","160,453419999998","292,8955078125"
2025-08-21 14:00:00,"-0,9813220000014553","111,91448000000128","293,0958251953125"
2025-08-21 14:15:00,"-1,3784379999979137","115,38418000000092","293,3731918334961"
2025-08-21 14:30:00,"0,4304599999977654","78,98749999999745","293,6505584716797"
2025-08-21 14:45:00,"0,7418000000016036","98,12637600000198","293,9279251098633"
2025-08-21 15:00:00,"1,078125","101,37870400000065","294,2052917480469"
2025-08-21 15:15:00,"3,9058550000008836","100,32122799999888","294,25016021728516"
2025-08-21 15:30:00,"0,5941449999991164","64,36811200000011","294,29502868652344"
2025-08-21 15:45:00,"-0,2652250000010099","73,817579999999","294,3398971557617"
2025-08-21 16:00:00,"-1,12539999999899","60,54439000000093","294,384765625"
2025-08-21 16:15:00,"0,5472799999988638","54,80417000000125","294,68025970458984"
2025-08-21 16:30:00,"-0,2816549999988638","45,7758449999983","294,9757537841797"
2025-08-21 16:45:00,"0,171875","33,31475500000124","295,27124786376953"
2025-08-21 17:00:00,"1,0613500000017666","22,38343999999779","295,5667419433594"
2025-08-21 17:15:00,"0,15244999999777065","10,112640000001193","295,7306823730469"
2025-08-21 17:30:00,"-0,1348199999993085","4,336100000000442","295,8946228027344"
2025-08-21 17:45:00,"0,17164000000047963","3,408339999999953","296,0585632324219"
2025-08-21 18:00:00,"0,12752000000000407","2,368430000000444","296,2225036621094"
2025-08-21 18:15:00,"-0,6465399999997317","-0,14886000000115018","296,2683639526367"
2025-08-21 18:30:00,"0,5890129999988858","-0,1016299999992043","296,31422424316406"
2025-08-21 18:45:00,"-0,15203699999983655","0,20401999999921827","296,3600845336914"
2025-08-21 19:00:00,"-0,21923100000094564","-0,05327000000033877","296,40594482421875"
2025-08-21 19:15:00,"0,406317000000854","0,030810000002020388","296,7695846557617"
2025-08-21 19:30:00,"-0,3126620000002731","-0,21255500000188476","297,1332244873047"
2025-08-21 19:45:00,"0,3439720000005764","0,236575000000812","297,49686431884766"
2025-08-21 20:00:00,"-0,3593810000002122","0,01199799999994866","297,8605041503906"
2025-08-21 20:15:00,"0,3279770000008284","-0,2071379999997589","298,0602569580078"
2025-08-21 20:30:00,"-0,35939800000051036","0,2787299999999959","298,260009765625"
2025-08-21 20:45:00,"0,35992999999871245","-0,2709899999990739","298,4597625732422"
2025-08-21 21:00:00,"-0,3128949999991164","0,23859000000084052","298,6595153808594"
2025-08-21 21:15:00,"-0,2737510000006296","-0,3022900000032678","298,6776809692383"
2025-08-21 21:30:00,"0,49246100000164006","0,2339350000002014","298,6958465576172"
2025-08-21 21:45:00,"-0,155839000000924","0,06380499999977474","298,7140121459961"
2025-08-21 22:00:00,"-0,08263600000100269","-0,09778999999980442","298,732177734375"
2025-08-21 22:15:00,"0,00413000000116881","0,10993000000053144","298,7518539428711"
2025-08-21 22:30:00,"0,1016940000008617","-0,03743999999824155","298,7715301513672"
2025-08-21 22:45:00,"0,2111639999984618","-0,17749999999978172","298,7912063598633"
2025-08-21 23:00:00,"-0,4070130000000063","0,05632999999761523","298,8108825683594"
2025-08-21 23:15:00,"0,460785000001124","-0,06812999999783642","298,86590576171875"
2025-08-21 23:30:00,"-0,139870000000883","0,1863149999990128","298,9209289550781"
