run_id,horizon_start,horizon_end_exclusive,dispatch_day,initial_soc_wh,soc_next_publish_wh,objective_horizon_eur,opt_revenue_dispatch_day_eur,opt_cycle_aging_cost_dispatch_day_eur,opt_revenue_dispatch_day_after_aging_eur,solver_status,solver_termination,n_horizon_steps,n_dispatch_steps,terminal_soc_enforced,real_revenue_dispatch_day_eur,real_rebap_settlement_dispatch_day_eur,real_revenue_dispatch_day_net_eur,scenario
18,2025-07-26,2025-07-27 10:45:00,2025-07-26,"4216,924569719652","3627,4064022034277","1,0037416936258259","1,6664498587661098","0,731925985389531","0,934523873376579",ok,optimal,139,96,False,"1,6664498587661098","-1,3526184397803545","0,3138314189857556",transfer
19,2025-07-27,2025-07-28 10:45:00,2025-07-27,"3627,4064022034277","6685,689209480558","0,6492336208600132","1,1107795076334928","0,41380806968236883","0,696971437951124",ok,optimal,139,96,False,"1,1107795076334928","-0,1354661570529664","0,9753133505805264",transfer
20,2025-07-28,2025-07-29 10:45:00,2025-07-28,"6685,689209480558","5938,085614035088","0,17932658880697616","0,8906917868588251","0,5370495057128634","0,35364228114596186",ok,optimal,139,96,False,"0,8906917868588252","-0,30511123812693813","0,585580548731887",transfer
21,2025-07-29,2025-07-30 10:45:00,2025-07-29,"5938,085614035088","5553,701928824561","0,16922777072883988","1,0717841310249554","0,6124032964188746","0,4593808346060807",ok,optimal,139,96,False,"1,0717841310249554","-0,359236378470163","0,7125477525547923",transfer
22,2025-07-30,2025-07-31 10:45:00,2025-07-30,"5553,701928824561","4692,572016297341","-0,05774479308571889","0,7744336624820426","0,7216381740376039","0,05279548844443871",ok,optimal,139,96,False,"0,7744336624820425","0,10919815023260303","0,8836318127146456",transfer
23,2025-07-31,2025-08-01 10:45:00,2025-07-31,"4692,572016297341","4902,662893736835","0,1119805673864489","0,9736215145687759","0,6356472556503374","0,33797425891843835",ok,optimal,139,96,False,"0,9736215145687759","0,27847107817380884","1,2520925927425846",transfer
24,2025-08-01,2025-08-02 10:45:00,2025-08-01,"4902,662893736835","3651,1286892719377","-0,1323883235651906","0,7804532906563136","0,7594693115711484","0,02098397908516539",ok,optimal,139,96,False,"0,7804532906563136","-0,03262411258355558","0,7478291780727581",transfer
25,2025-08-02,2025-08-03 10:45:00,2025-08-02,"3651,1286892719377","5429,936753245836","-0,03663854587239179","0,7519765638137397","0,4442169750632421","0,3077595887504976",ok,optimal,139,96,False,"0,7519765638137397","-0,19459358949685468","0,557382974316885",transfer
26,2025-08-03,2025-08-04 10:45:00,2025-08-03,"5429,936753245836","7125,64052731579","-0,4906736756080389","0,11248749392567453","0,571897390456792","-0,4594098965311175",ok,optimal,139,96,False,"0,11248749392567452","-0,007345750838698077","0,10514174308697644",transfer
27,2025-08-04,2025-08-05 10:45:00,2025-08-04,"7125,64052731579","5567,6710536315795","0,8277770938097543","1,6485414940022938","0,5077821055095724","1,1407593884927212",ok,optimal,139,96,False,"1,6485414940022938","-0,5430994287668428","1,1054420652354509",transfer
